ID,Fullname,City
1,Eox Xoe,Malmö
2,Eox Xoe,Mata-Utu
3,Eox Xoe,Antananarivo
4,Eox Xoe,Blantyre
5,Eox Xoe,Yakutsk
6,Eox Xoe,Shanghai
7,Eox Xoe,Portland
8,Eox Xoe,Denpasar
9,Eox Xoe,Da Nang
10,Eox Xoe,Iloilo City
11,Eox Xoe,Stockholm
12,Eox Xoe,Barranquilla
13,Eox Xoe,Makati City
14,Eox Xoe,Copenhagen
15,Eox Xoe,Porto Alegre
16,Eox Xoe,Handan
17,Eox Xoe,Mbabane
18,Eox Xoe,Nukus
19,Eox Xoe,Port Said
20,Eox Xoe,San Francisco
21,Eox Xoe,Miri
22,Eox Xoe,Zürich
23,Eox Xoe,El Paso
24,Eox Xoe,Norilsk
25,Eox Xoe,Santo Domingo
26,Eox Xoe,Bucharest
27,Eox Xoe,Pontianak
28,Eox Xoe,Nukus
29,Eox Xoe,Nuuk
30,Eox Xoe,Brussels
31,Eox Xoe,Taipei
32,Eox Xoe,Thessaloniki
33,Eox Xoe,Toulouse
34,Eox Xoe,Arbil
35,Eox Xoe,Yellowknife
36,Eox Xoe,Nicosia
37,Eox Xoe,Beirut
38,Eox Xoe,Shijiazhuang
39,Eox Xoe,Newcastle
40,Eox Xoe,Denver
41,Eox Xoe,Seoul
42,Eox Xoe,Ankara
43,Eox Xoe,Patna
44,Eox Xoe,Yakutsk
45,Eox Xoe,Las Vegas
46,Eox Xoe,Rotterdam
47,Eox Xoe,Pristina
48,Eox Xoe,Patna
49,Eox Xoe,Johannesburg
50,Eox Xoe,Milan
51,Eox Xoe,Los Angeles
52,Eox Xoe,Bogotá
53,Eox Xoe,Tashkent
54,Eox Xoe,Denpasar
55,Eox Xoe,Bangkok
56,Eox Xoe,Santa Cruz de la Sierra
57,Eox Xoe,Denver
58,Eox Xoe,Port Elizabeth
59,Eox Xoe,Leeds
60,Eox Xoe,Veracruz
61,Eox Xoe,Jayapura
62,Eox Xoe,Tashkent
63,Eox Xoe,Padang
64,Eox Xoe,Cartagena
65,Eox Xoe,Sucre
66,Eox Xoe,Mandurah
67,Eox Xoe,Cebu City
68,Eox Xoe,Singapore
69,Eox Xoe,Longyearbyen
70,Eox Xoe,Iquique
71,Eox Xoe,Alor Star
72,Eox Xoe,Maputo
73,Eox Xoe,Santo Domingo
74,Eox Xoe,Brisbane
75,Eox Xoe,Saint John
76,Eox Xoe,Chihuahua
77,Eox Xoe,Dededo
78,Eox Xoe,Bishkek
79,Eox Xoe,Brazzaville
80,Eox Xoe,Durban
81,Eox Xoe,Tirana
82,Eox Xoe,Havana
83,Eox Xoe,El Aaiún
84,Eox Xoe,Monaco
85,Eox Xoe,Tirana
86,Eox Xoe,Enugu
87,Eox Xoe,Wichita
88,Eox Xoe,Malmö
89,Eox Xoe,Brisbane
90,Eox Xoe,Serekunda
91,Eox Xoe,San Diego
92,Eox Xoe,Oklahoma City
93,Eox Xoe,Miami
94,Eox Xoe,Pyongyang
95,Eox Xoe,İzmir
96,Eox Xoe,Glasgow
97,Eox Xoe,Freetown
98,Eox Xoe,Nashville
99,Eox Xoe,Malabo
100,Eox Xoe,Havana
101,Eox Xoe,Makati City
102,Eox Xoe,Nantes
103,Eox Xoe,Dodoma
104,Eox Xoe,San José
105,Eox Xoe,Perm
106,Eox Xoe,Fortaleza
107,Eox Xoe,Riyadh
108,Eox Xoe,Tripoli
109,Eox Xoe,Vancouver
110,Eox Xoe,San Antonio
111,Eox Xoe,Cairo
112,Eox Xoe,Guadalajara
113,Eox Xoe,Padang
114,Eox Xoe,Bursa
115,Eox Xoe,Pretoria
116,Eox Xoe,Cotonou
117,Eox Xoe,Cairo
118,Eox Xoe,Nouakchott
119,Eox Xoe,Adak
120,Eox Xoe,Alexandria
121,Eox Xoe,Nashville
122,Eox Xoe,Amsterdam
123,Eox Xoe,Alofi
124,Eox Xoe,Melbourne
125,Eox Xoe,Beijing
126,Eox Xoe,Lilongwe
127,Eox Xoe,Stockholm
128,Eox Xoe,El Paso
129,Eox Xoe,Monterrey
130,Eox Xoe,Chişinău
131,Eox Xoe,Nakhon Ratchasima
132,Eox Xoe,The Hague
133,Eox Xoe,Quebec City
134,Eox Xoe,Boa Vista
135,Eox Xoe,Bissau
136,Eox Xoe,Hilo
137,Eox Xoe,Malang
138,Eox Xoe,Concepción
139,Eox Xoe,Hagåtña
140,Eox Xoe,Guwahati
141,Eox Xoe,Riga
142,Eox Xoe,El Aaiún
143,Eox Xoe,Nouakchott
144,Eox Xoe,Kaohsiung
145,Eox Xoe,Zürich
146,Eox Xoe,Tamale
147,Eox Xoe,Banda Aceh
148,Eox Xoe,Petropavlovsk-Kamchatsky
149,Eox Xoe,Yogyakarta (city)
150,Eox Xoe,Bogor
151,Eox Xoe,Hanover
152,Eox Xoe,Veracruz
153,Eox Xoe,Tamale
154,Eox Xoe,Dushanbe
155,Eox Xoe,Cusco
156,Eox Xoe,Tegucigalpa
157,Eox Xoe,Birmingham
158,Eox Xoe,Monrovia
159,Eox Xoe,Gothenburg
160,Eox Xoe,Lomé
161,Eox Xoe,The Valley
162,Eox Xoe,Macau
163,Eox Xoe,Wonsan
164,Eox Xoe,Amman
165,Eox Xoe,Maracaibo
166,Eox Xoe,Antofagasta
167,Eox Xoe,San Diego
168,Eox Xoe,Melbourne
169,Eox Xoe,Brasília
170,Eox Xoe,Rio Branco
171,Eox Xoe,Kota Bharu
172,Eox Xoe,Valencia
173,Eox Xoe,Shillong
174,Eox Xoe,Belmopan
175,Eox Xoe,Kaohsiung
176,Eox Xoe,Santa Cruz de la Sierra
177,Eox Xoe,Namangan
178,Eox Xoe,Kolkata
179,Eox Xoe,Edinburgh
180,Eox Xoe,Nukus
181,Eox Xoe,Bishkek
182,Eox Xoe,Porto-Novo
183,Eox Xoe,Belize City
184,Eox Xoe,Tokyo
185,Eox Xoe,Fortaleza
186,Eox Xoe,Ndola
187,Eox Xoe,Beirut
188,Eox Xoe,Libreville
189,Eox Xoe,Charlotte
190,Eox Xoe,Nanjing
191,Eox Xoe,Pyongyang
192,Eox Xoe,Tagbilaran
193,Eox Xoe,Brikama
194,Eox Xoe,Ürümqi
195,Eox Xoe,Oklahoma City
196,Eox Xoe,La Serena
197,Eox Xoe,Maputo
198,Eox Xoe,Anadyr (town)
199,Eox Xoe,Ljubljana
200,Eox Xoe,Ibadan
201,Eox Xoe,Arbil
202,Eox Xoe,Quezon City
203,Eox Xoe,Minneapolis
204,Eox Xoe,Quetzaltenango
205,Eox Xoe,Saskatoon
206,Eox Xoe,Denver
